timestamp, mac, rss, battery
2013-11-15 10:09:34.864000,4694202700110029,-41,7600,0
2013-11-15 10:09:35.933000,4694202700110029,-41,7700,0
2013-11-15 10:09:36.956000,4694202700110029,-41,7800,0
2013-11-15 10:09:45.166000,4694202700110029,-41,8000,0
2013-11-15 10:09:47.238000,4694202700110029,-41,8200,0
2013-11-15 10:09:48.225000,4694202700110029,-41,8300,0
2013-11-15 10:09:49.261000,4694202700110029,-42,8400,0
2013-11-15 10:09:50.248000,4694202700110029,-41,8500,0
2013-11-15 10:09:51.267000,4694202700110029,-41,8600,0
2013-11-15 10:09:52.336000,4694202700110029,-42,8700,0
2013-11-15 10:09:53.371000,4694202700110029,-41,8800,0
2013-11-15 10:09:54.454000,4694202700110029,-41,8900,0
2013-11-15 10:09:55.474000,4694202700110029,-42,8A00,0
2013-11-15 10:09:56.541000,4694202700110029,-41,8B00,0
2013-11-15 10:09:57.593000,4694202700110029,-42,8C00,0
2013-11-15 10:09:58.613000,4694202700110029,-42,8D00,0
2013-11-15 10:09:59.633000,4694202700110029,-42,8E00,0
2013-11-15 10:10:00.668000,4694202700110029,-42,8F00,0
2013-11-15 10:10:01.656000,4694202700110029,-42,9000,0
2013-11-15 10:10:02.692000,4694202700110029,-41,9100,0
2013-11-15 10:10:03.711000,4694202700110029,-41,9200,0
2013-11-15 10:10:04.700000,4694202700110029,-41,9300,0
2013-11-15 10:10:05.751000,4694202700110029,-41,9400,0
2013-11-15 10:10:06.803000,4694202700110029,-42,9500,0
2013-11-15 10:10:07.838000,4694202700110029,-41,9600,0
2013-11-15 10:10:08.874000,4694202700110029,-41,9700,0
2013-11-15 10:10:09.862000,4694202700110029,-42,9800,0
2013-11-15 10:10:10.945000,4694202700110029,-42,9900,0
2013-11-15 10:10:11.980000,4694202700110029,-42,9A00,0
2013-11-15 10:10:13.032000,4694202700110029,-41,9B00,0
2013-11-15 10:10:14.068000,4694202700110029,-41,9C00,0
2013-11-15 10:10:15.104000,4694202700110029,-41,9D00,0
2013-11-15 10:10:16.174000,4694202700110029,-41,9E00,0
2013-11-15 10:10:17.159000,4694202700110029,-42,9F00,0
2013-11-15 10:10:18.178000,4694202700110029,-41,A000,0
2013-11-15 10:10:19.182000,4694202700110029,-41,A100,0
2013-11-15 10:10:20.234000,4694202700110029,-41,A200,0
2013-11-15 10:10:21.238000,4694202700110029,-41,A300,0
2013-11-15 10:10:22.275000,4694202700110029,-42,A400,0
2013-11-15 10:10:23.295000,4694202700110029,-42,A500,0
2013-11-15 10:10:24.314000,4694202700110029,-41,A600,0
2013-11-15 10:10:25.334000,4694202700110029,-41,A700,0
2013-11-15 10:10:26.369000,4694202700110029,-42,A800,0
2013-11-15 10:10:27.389000,4694202700110029,-42,A900,0
2013-11-15 10:10:28.440000,4694202700110029,-41,AA00,0
2013-11-15 10:10:29.460000,4694202700110029,-42,AB00,0
2013-11-15 10:10:30.448000,4694202700110029,-42,AC00,0
2013-11-15 10:10:31.452000,4694202700110029,-41,AD00,0
2013-11-15 10:10:32.440000,4694202700110029,-41,AE00,0
2013-11-15 10:10:33.507000,4694202700110029,-41,AF00,0
2013-11-15 10:10:34.511000,4694202700110029,-41,B000,0
2013-11-15 10:10:35.514000,4694202700110029,-40,B100,0
2013-11-15 10:10:36.566000,4694202700110029,-40,B200,0
2013-11-15 10:10:37.585000,4694202700110029,-40,B300,0
2013-11-15 10:10:38.621000,4694202700110029,-40,B400,0
2013-11-15 10:10:39.626000,4694202700110029,-40,B500,0
2013-11-15 10:10:40.661000,4694202700110029,-40,B600,0
2013-11-15 10:10:41.696000,4694202700110029,-40,B700,0
2013-11-15 10:10:42.684000,4694202700110029,-40,B800,0
2013-11-15 10:10:43.735000,4694202700110029,-40,B900,0
2013-11-15 10:10:44.723000,4694202700110029,-40,BA00,0
2013-11-15 10:10:45.758000,4694202700110029,-40,BB00,0
2013-11-15 10:10:46.778000,4694202700110029,-40,BC00,0
2013-11-15 10:10:47.845000,4694202700110029,-40,BD00,0
2013-11-15 10:10:48.897000,4694202700110029,-40,BE00,0
2013-11-15 10:10:49.964000,4694202700110029,-40,BF00,0
2013-11-15 10:10:51.031000,4694202700110029,-41,C000,0
2013-11-15 10:10:52.067000,4694202700110029,-40,C100,0
